player_id,height,weight,position,played_minutes_per_game,scored_points_per_game,field_goals_made_per_game,field_goals_miss_per_game,field_goals_attempts_per_game,three_points_field_goals_made_per_game,three_points_field_goals_attempts_per_game,free_throws_made_per_game,free_throws_miss_per_game,free_throws_attempts_per_game,assists_per_game,offensive_rebounds_per_game,defensive_rebounds_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,team_id,OffRtg,Floor%,DefRtg,NetRtg,TS%,eFG%,FTARate,3FGARate,OR%,DR%,BLK%,TOV%,AST%,STL%,USG%
2594,201,96,SG,1838.7320000000002,9.537,3.463,4.537,8.0,1.8780000000000001,5.0,0.732,0.122,0.8540000000000001,2.146,0.171,3.488,0.732,0.46299999999999997,1.439,2.024,1610612737,110.92058205039936,0.3325632888078306,105.163097955919,5.757484094480361,0.5823652070300864,0.5503048780487805,0.10670731707317073,0.2347560975609756,0.6489228156734621,12.815403772145011,1.2360924106418176,14.662027833001991,10.312763486984984,1.251121367650812,14.556519301885581
200757,198,98,SF,1474.865,7.0,2.838,2.676,5.513999999999999,0.541,1.811,0.784,0.486,1.27,1.486,0.757,3.946,1.3780000000000001,0.514,0.946,1.514,1610612737,119.26066072371651,0.4396883168057646,99.72033786410452,19.540322859611987,0.6041802743305029,0.5637254901960784,0.2303921568627451,0.09803921568627452,3.585925836759462,18.07579387966086,1.7076513588687068,13.478126925446706,8.936383763837636,2.9383033540330032,12.977359603295627
200794,201,117,PF,1974.786,18.405,6.476,6.7139999999999995,13.19,0.833,2.738,4.619,1.286,5.905,3.5,2.524,6.2139999999999995,1.8330000000000002,1.31,2.238,3.071,1610612737,115.27484247936384,0.4727130708092794,97.68041863038769,17.594423848976163,0.6351058235835415,0.5225631768953068,0.4476534296028881,0.0631768953068592,8.931693755056596,21.26031615437953,3.2523178530462014,12.415469146238374,17.860827848735024,2.9187833922761857,24.89414654490805
201143,206,109,C,1891.2089999999998,15.395,6.558,6.605,13.163,0.953,2.9530000000000003,1.3259999999999998,0.37200000000000005,1.6980000000000002,2.977,2.209,5.162999999999999,0.767,1.4880000000000002,1.3259999999999998,1.93,1610612737,125.39841444665164,0.44195649123090186,101.65465442858364,23.74376001806803,0.5686698965742364,0.534452296819788,0.12897526501766785,0.07243816254416961,8.164183926084213,18.443502624852627,3.859859387970228,8.700696055684455,16.168653588347198,1.2758108682878602,21.96921795955552
201168,211,111,C,962.6669999999999,5.4,2.233,2.267,4.5,0.0,0.067,0.9329999999999999,0.2,1.133,0.9,1.3330000000000002,1.867,0.5670000000000001,0.36700000000000005,0.733,2.0669999999999997,1610612737,112.57616754190872,0.4656359622660614,103.22755021213013,9.348617329778603,0.56850084222347,0.4962962962962963,0.2518518518518518,0.0,9.679658335573997,13.100543589139097,1.868078220564439,12.79367294719702,8.590825846472594,1.8506834490948871,16.23798133905788
201952,191,88,PG,1718.375,14.675,5.025,7.125,12.15,1.125,2.85,3.5,0.65,4.15,5.45,0.475,2.125,1.25,0.325,2.7,2.125,1610612737,104.18124328624941,0.3786938774718302,104.49766655426063,-0.3164232680112349,0.5617009875220087,0.4598765432098765,0.34156378600823045,0.0925925925925926,1.9318477201921007,8.354865581742162,0.9276090480947418,16.190933077476615,30.857418546155372,2.2870332354806964,26.465233568443214
203118,201,108,PF,849.297,6.946000000000001,2.7030000000000003,2.459,5.162000000000001,0.838,2.0269999999999997,0.703,0.18899999999999997,0.892,1.0,0.514,1.6219999999999999,0.243,0.21600000000000003,0.595,1.27,1610612737,126.11233666576557,0.4477994415468479,105.81163997546537,20.30069669030017,0.6481388076263492,0.6047120418848168,0.17277486910994766,0.16230366492146595,4.225609503799773,12.899957000143333,1.2486136597366455,9.669479606188467,11.75065855880253,0.9004538346276039,19.74512572325268
203145,193,88,SF,1707.0529999999999,12.974,4.658,5.421,10.079,1.7109999999999999,4.053,1.9469999999999998,0.342,2.289,2.395,0.263,4.211,1.2890000000000001,0.474,1.6840000000000002,2.474,1610612737,110.90780809396463,0.3827948836653525,101.50525218486642,9.402555909098213,0.6129706072512061,0.5469973890339426,0.22715404699738906,0.16971279373368145,1.077374563464948,16.66433367340873,1.360948082228831,13.188262446422687,13.393756796748256,2.374903571128297,20.40157401975861
203471,185,78,PG,1287.78,10.659,4.0489999999999995,5.756,9.805,1.024,3.1460000000000004,1.537,0.39,1.9269999999999998,4.6339999999999995,0.415,2.2680000000000002,1.0490000000000002,0.122,2.073,1.659,1610612737,108.00698108287924,0.35237096753847946,103.17016149615708,4.836819586722157,0.5210072011063952,0.4651741293532338,0.19651741293532335,0.1044776119402985,2.2501965266545807,11.900240262076581,0.4644552411452438,16.291015026065626,35.77616632779082,2.560490488817184,26.949261881109976
101135,208,113,PF,942.2760000000001,7.31,2.966,3.483,6.4479999999999995,0.0,0.034,1.379,0.379,1.7590000000000001,1.724,1.379,3.0,0.379,0.414,1.2409999999999999,1.69,1610612738,107.59414073375521,0.4200113816086828,100.44604507188116,7.148095661874024,0.5347593582887701,0.4598930481283423,0.2727272727272727,0.0,9.338720391485088,21.171531143708748,2.1003812410742264,14.667535853976533,18.301883024095662,1.2376154770586871,23.407071816113802
