,Cluster,first_name,last_name,OffRtg,Floor%,DefRtg,NetRtg,TS%,eFG%,FTARate,3FGARate,OR%,DR%,BLK%,TOV%,AST%,STL%,USG%
278,0,Kemba,Walker,123.10483515300608,0.35527578411763977,112.75095767008536,10.353877482920725,0.5875377317809399,0.4949640287769784,0.3079136690647482,0.11223021582733812,2.491347926029994,12.387959084903295,1.5379925004782211,10.744661599710462,31.74651507484809,2.513323916826617,31.36485621108863
269,0,Reggie,Jackson,128.62595736309765,0.3227716218558737,108.34055298203224,20.285404381065426,0.5531492261428531,0.4730320699708455,0.25801749271137026,0.08600583090379009,2.7867314547759467,11.912895461151376,0.18246044562192754,13.77161692328532,42.51331998811664,1.4664988244591468,31.60011879908059
251,0,Mike,Conley,125.21132089842426,0.3746263449060664,111.24083642358801,13.970484474836256,0.5579620462046204,0.4658590308370044,0.30837004405286345,0.11674008810572688,1.9347664600844408,9.582125529036153,0.94932829853714,9.32113964122406,36.32688793353285,1.9834472200044564,25.187847220868612
31,0,Jrue,Holiday,126.7652012767403,0.326728965265054,119.58445393210177,7.180747344638548,0.5603743437571329,0.491566265060241,0.2530120481927711,0.10602409638554217,1.4077323967748607,11.892842545987197,1.2073116429379502,14.147431124348474,45.10968490332034,2.34849237616288,32.609327772439734
34,0,Ish,Smith,131.13524243641328,0.3328650166452505,119.449084055897,11.686158380516305,0.5166051660516605,0.4615384615384616,0.19230769230769232,0.04807692307692308,2.5918572484776994,16.348138658453575,0.8680956753965208,16.32047477744807,49.570971402343396,2.012297325318312,25.49564689726915
192,0,Damian,Lillard,125.21347113725193,0.35332566033108315,111.33475892299248,13.878712214259453,0.5869040809728681,0.5059210526315789,0.2644736842105263,0.15657894736842104,2.0610836228572698,11.913956149713929,0.7315691634528255,13.108844373438206,37.859442503228045,1.3961513130999903,33.26070059472804
277,0,Jeremy,Lin,109.57543591329457,0.3672870211723297,115.17263810603315,-5.597202192738592,0.5885449064548542,0.4765013054830287,0.4151436031331593,0.10182767624020887,2.6267301760916824,12.581047855148453,2.14047041587698,14.529398445165672,23.608084385964517,1.263119173235724,26.16438560237669
133,1,Jarrett,Jack,106.9301658435187,0.34807063951990713,108.41611276746764,-1.4859469239489298,0.541002277904328,0.4391304347826087,0.3130434782608696,0.08405797101449275,1.0355612565733687,14.409629561922559,0.6053798520172331,18.820317670416948,36.13165357142971,1.829152401536296,22.542546568211808
139,1,Shane,Larkin,115.90279659744837,0.33942588438832194,106.34602362660587,9.556772970842488,0.543618392780404,0.5022222222222222,0.15555555555555556,0.09777777777777777,1.2050029665850472,11.287056276893024,0.5660630041930079,19.97336884154461,28.60122689876061,3.169190409745565,18.333834468992176
149,1,Jerian,Grant,94.75805986907172,0.3429065446878997,106.99055353296738,-12.232493663895678,0.4702697742705083,0.3669950738916256,0.3349753694581281,0.03448275862068965,1.7652385305805782,10.402971553884118,0.4762520375759918,16.790511574735635,22.89948914172839,1.7005025353274756,19.083813606553303
172,1,Isaiah,Canaan,106.31484525454708,0.2918419873393868,116.59047561676779,-10.275630362220724,0.5541587562214583,0.4782608695652174,0.2690217391304348,0.24456521739130435,1.0942514102665468,8.91693315877206,0.6962324907080556,12.351989096175144,13.796889943678933,1.4543637430213785,22.47385211719314
164,1,Rodney,Stuckey,104.22052374113855,0.3606531087390748,104.0903759757257,0.13014776541284334,0.5138175253437022,0.4240740740740741,0.3037037037037037,0.03333333333333333,2.123518470606318,12.948036167278724,0.5280660297198138,12.817591432152215,16.80957300984222,1.575509605322316,20.026498196469948
104,1,D'Angelo,Russel,110.41484910267485,0.2938863296720413,111.86180847230636,-1.446959369631486,0.5139177731562949,0.4835390946502058,0.13168724279835392,0.13168724279835392,2.651164655787132,14.034436291946836,0.5096850004313741,15.595245912403968,25.304793721727318,2.286603968759084,25.456206961913495
244,1,Raul,Neto,113.62323335018236,0.2986982750742645,107.62656276146922,5.996670588713157,0.5203759002283506,0.49099099099099097,0.11711711711711713,0.15315315315315314,1.8641203300769016,8.034498606636209,0.2245584394124121,19.62539595097094,20.9001050391877,2.5511265982825733,17.55449742471496
266,1,Steve,Blake,117.01978867815338,0.2599447850854475,108.13289145891184,8.886897219241533,0.4977600796416127,0.4831932773109244,0.05882352941176471,0.21008403361344533,1.4119624597282534,10.124293785310737,0.5238710850965692,24.679170779861803,30.209351559028768,1.6374307851598118,16.599650473546312
157,1,Shabazz,Napier,98.54810854278179,0.314131437528799,104.32161476492094,-5.773506222139119,0.4870984728804634,0.4131944444444444,0.25,0.14583333333333334,1.8128322228997584,7.527540276106093,0.2069675789704534,18.38235294117647,24.142021794937573,2.0739551643474767,20.181146316757285
81,1,Ty,Lawson,108.29234509239905,0.3508826127646723,111.01196301945015,-2.7196179270510754,0.4985754985754986,0.4409090909090909,0.2409090909090909,0.1,2.398165744030406,6.474147993968575,0.2995617603026967,20.825198490173108,25.7206277503018,2.176188787402657,15.75796612297715
5,1,Jeff,Teague,104.18124328624941,0.3786938774718302,104.49766655426063,-0.3164232680112349,0.5617009875220087,0.4598765432098765,0.34156378600823045,0.0925925925925926,1.9318477201921007,8.354865581742162,0.9276090480947418,16.190933077476615,30.857418546155372,2.2870332354806964,26.465233568443214
53,1,Jose Juan,Barea,116.83102857714623,0.327172307734718,114.23159193394932,2.59943664319691,0.5366372757677106,0.4968652037617554,0.14106583072100312,0.14733542319749215,1.856270738802949,8.818950660235613,0.2083301685955292,15.679442508710801,37.44635843291249,0.9880375928269662,25.225990558219557
40,1,Derrick,Rose,103.8652545882883,0.32657602424503906,104.87522001040176,-1.009965422113467,0.4750388668163759,0.4256272401433692,0.17025089605734767,0.041218637992831535,1.7467465203429506,8.199979855952263,0.6608826773132878,13.672999424294762,24.36760692596345,0.9827638946597592,26.7442083406997
50,1,Raymond,Felton,103.7495798017455,0.3435058662332376,111.16237007379141,-7.412790272045925,0.5291079548644249,0.4541420118343195,0.2455621301775148,0.10946745562130178,1.454882188075142,12.836562310774012,0.530666942529244,15.557359307359311,23.346225085702915,1.6778459308899545,20.26531365089369
52,1,Deron,Williams,112.02790087922058,0.3470759042163134,111.74596079906937,0.28194008015120176,0.5622402100196893,0.4838709677419355,0.2419354838709677,0.11981566820276494,1.1116806178405938,10.402914872554463,0.7372445178958427,15.338504936530324,33.7781987014718,1.678317383289981,25.203676742488238
56,1,Jameer,Nelson,111.54964466817215,0.3301464221658261,109.56527417497291,1.9843704931992363,0.4776654711444409,0.4397993311036789,0.11705685618729098,0.137123745819398,2.170619216511407,10.945172624341495,0.4386973952087103,16.913319238900634,29.689942150077766,1.3686931605445956,17.573941095916062
21,1,Mo,Williams,116.6668620969358,0.34678728742783266,106.18321560134581,10.483646495589994,0.5632328308207705,0.5065217391304347,0.17391304347826084,0.11739130434782608,0.7744079277529526,10.966982859207256,0.5665108131465311,15.953835709436527,25.15701948509933,0.8083800419487017,22.961353561740108
65,1,Emanuel,Mudiay,85.74662152899552,0.291787326672275,107.83260337185152,-22.085981842856,0.4135105889627454,0.3550135501355013,0.23577235772357724,0.06504065040650407,2.3813512099903256,11.142743000694622,1.828893684724564,20.651496259351624,32.40959269128283,1.7117910694145917,27.6053517087954
8,1,Dennis,Schroder,108.00698108287924,0.35237096753847946,103.17016149615708,4.836819586722157,0.5210072011063952,0.4651741293532338,0.19651741293532332,0.1044776119402985,2.2501965266545807,11.900240262076581,0.4644552411452438,16.291015026065626,35.77616632779082,2.5604904888171838,26.949261881109976
229,2,Kyle,Lowry,126.85827721255644,0.3528829352552997,100.20087288389584,26.657404328660608,0.6159070243237099,0.5122137404580153,0.33893129770992364,0.17557251908396945,2.1133305882226416,13.515440015880245,1.3162494804110287,14.437068024736266,31.77780786001919,3.4376785345359884,26.64604238974597
14,2,Isaiah,Thomas,116.91768688064144,0.3921607241900568,104.7989009630763,12.118785917565136,0.5952851310417491,0.4771754636233952,0.3780313837375178,0.11840228245363768,1.7733512667406686,7.956237927487402,0.17341141893549478,12.048192771084338,35.235339207554425,1.7463466559805132,29.2777307630998
259,2,Ramon,Sessions,112.77242689199691,0.4472412758240198,106.83551347489764,5.936913417099277,0.6316842829445244,0.5052264808362369,0.519163763066202,0.0627177700348432,1.4940860156355062,12.728594158203855,0.29709337203685143,13.282172373081465,22.363034421763654,1.8307479889986318,21.536327609841734
182,2,Eric,Bledsoe,118.53687980213509,0.36756539142768746,103.62355806989551,14.913321732239568,0.5994576796436181,0.50625,0.34375,0.1,1.889609538587808,11.725201003305962,1.608647465654046,16.348773841961854,31.7227646582512,3.1717473993756093,28.13005398461389
89,2,Chris,Paul,131.64974228085248,0.3899160118390768,100.79219619386086,30.85754608699162,0.5865532663685021,0.4970760233918128,0.2884990253411306,0.09746588693957113,2.1112941265749083,10.813186530074637,0.36073003434412,14.367816091954026,50.10630977059228,3.375499839294698,26.647840470074293
210,2,Tony,Parker,132.19091290260866,0.44658780007277465,100.7205661794115,31.47034672319716,0.6055667001003009,0.5461741424802111,0.2374670184696569,0.036939313984168866,1.376925456736249,9.373525570091164,0.4685674990503387,12.900540990428635,31.30620283608325,1.6358477029946508,22.92708738951877
71,2,Stephen,Curry,132.74458192563367,0.4339527621900891,101.6769390845738,31.06764284105988,0.7235637169847696,0.6330334190231363,0.3033419023136247,0.2480719794344473,2.7604586559301363,13.824453494160464,0.32973859384154297,13.531534358330722,35.544667464714244,3.1092519348434515,33.775200240532286
49,2,Devin,Harris,117.09635523468769,0.42025174027408,109.14980641717577,7.946548817511939,0.6039168320248469,0.5233644859813084,0.37850467289719625,0.12149532710280375,2.0244686675145207,10.579845822419447,0.9088284160351414,11.987025807361446,19.396761624757872,2.657992032667204,19.42117555459137
200,3,Rajon,Rondo,126.44811231679722,0.38937797984091016,104.16108430951333,22.287028007283894,0.5213401918531906,0.4866504854368932,0.2160194174757281,0.06067961165048544,3.889469543057791,16.14980123536159,0.4565285208946944,24.19517440688218,48.24521059043397,2.6041927270079754,18.88983750958911
177,3,TJ,McConnell,121.99549389905329,0.3041349002684864,110.49935024333763,11.496143655715654,0.5090738689614039,0.4913419913419914,0.0735930735930736,0.08225108225108227,3.228376325528996,17.99999155722723,0.5477596754523922,26.048127015628875,41.79172093550032,3.0775521085929327,18.214457476502265
