,Cluster,first_name,last_name,OffRtg,Floor%,DefRtg,NetRtg,TS%,eFG%,FTARate,3FGARate,OR%,DR%,BLK%,TOV%,AST%,STL%,USG%
41,0,Taj,Gibson,129.43876393495844,0.4867436464293083,100.43822687103321,29.000537063925236,0.5735369328559947,0.5173745173745173,0.2586872586872587,0.0,11.721135735755546,16.181086135971018,2.9934220256282185,11.909124221326492,7.7438250934532675,0.9084409317508326,13.594054592956473
98,0,Brandon,Bass,140.75358605358215,0.5156302296604174,110.0398388355592,30.713747218022927,0.6590857660104096,0.5609756097560976,0.35365853658536583,0.0,9.856995723635812,17.863615932257453,3.964362967275,9.545628102329133,12.119542762704866,1.4589548095952392,14.89729507234566
60,0,Kenneth,Faried,120.19578112267652,0.5145311861128958,105.12731803741457,15.06846308526191,0.5897530409141172,0.5327635327635327,0.3732193732193732,0.0,15.145516225576902,23.55012071659429,3.489557381621612,11.288641889544985,7.600875942030799,0.8932988127154586,21.816765918938057
10,0,Amir,Johnson,133.18585115602355,0.4891943600848451,99.89120410059944,33.29464705542412,0.6375335543975998,0.6078838174273858,0.2323651452282157,0.03734439834024896,9.276624224203713,18.63963865128091,3.686837977199288,15.840831326828036,10.35637971924563,1.3465346901813249,14.410474164850381
235,0,Bismack,Biyombo,113.51352157735869,0.4976089732253312,98.68594371674784,14.827577860610845,0.6322957198443581,0.4966887417218543,0.7152317880794702,0.0,12.284987705414649,29.815991556983786,5.928234351494408,18.478975032851512,1.5492687838145267,0.4449944212179904,11.577470489980366
191,0,Ed,Davis,145.20892120484456,0.5990035896192736,105.97243939879758,39.236481806046974,0.6823017855490795,0.6157894736842106,0.6263157894736842,0.0,15.86749572550969,23.688274455992197,2.844480615000413,12.618978944332275,8.623769052082915,1.5267664484546817,13.775536266391887
159,0,Aaron,Gordon,126.08908212228079,0.4729664367354361,100.42261651681505,25.66646560546576,0.6127652574436585,0.5376106194690266,0.34513274336283184,0.08407079646017701,9.786151816133527,19.056727991958024,3.016618710071904,11.552052188094592,9.600278994238906,1.5147208892929789,16.37263357206685
103,1,Julius,Randle,98.33127244408337,0.3748492417426625,107.49163620745449,-9.160363763371166,0.4837955086764205,0.4088838268792711,0.3234624145785877,0.011389521640091115,9.615057188386267,33.37935739017257,1.1523052364910822,13.310745401742494,11.832759503725233,1.3664427899419689,23.91081634152617
51,1,Charlie,Villanueva,93.1774972380148,0.3218023729116112,107.29880501531609,-14.121307777301269,0.4618310241782124,0.4403669724770641,0.059633027522935776,0.11926605504587155,3.569485369925701,22.893646302448946,2.2033279432476136,7.062146892655367,7.564440370476774,1.3932825008372989,29.061281329226762
88,1,Josh,Smith,97.86132628790048,0.3406808951801403,96.50358605542186,1.3577402324785908,0.4789272030651341,0.44375,0.2,0.1125,7.978165373565919,19.797651245458802,6.338544603226024,16.33986928104575,12.274983481618824,2.096769894074129,23.276996599916426
184,1,Markieff,Morris,93.50628138165386,0.30278267366143097,105.7542763133958,-12.247994931741914,0.4491422396325814,0.4073426573426573,0.16083916083916086,0.05944055944055944,5.560322518488282,19.447590047117,1.1683584368366724,15.92356687898089,14.2113198492397,1.3894945878195146,26.75460031277167
147,2,Kristaps,Porzingis,108.01505545092334,0.3842748758364956,100.05208848473042,7.962966966192938,0.5491035402266587,0.4684601113172542,0.26159554730983303,0.09090909090909093,8.828626549096972,22.689426130834185,5.641381990007943,11.616963708017176,7.197694398918903,1.4068185032959388,24.407979967132373
211,2,David,West,125.1880816083073,0.4627524569598069,94.7653687609892,30.422712847318124,0.5999250093738282,0.5585365853658537,0.18536585365853656,0.004878048780487805,5.9691538923955525,21.97186843045896,2.8831384016308483,14.301175015460727,15.995760861337075,1.8669915332110123,18.98578070175055
135,2,Thaddeus,Young,118.60910604905486,0.4237734924166863,104.58935186072316,14.019754188331687,0.5481302181996772,0.5163934426229508,0.17486338797814208,0.009107468123861569,9.3852462134674,22.68362455760297,1.026052555573244,11.655011655011654,9.285077029942368,2.47333170667048,23.136098483641025
122,2,Kevin,Garnett,125.72732075324018,0.43661282429166937,98.90942114943691,26.817899603803266,0.51861928243496,0.4778761061946903,0.18584070796460173,0.0,3.1364209457081382,28.37946788497716,1.6276965724913013,11.574074074074073,17.212844868148952,2.5883872669794,11.638056461893045
213,2,LaMarcus,Aldridge,111.20154210239528,0.4694441640867157,97.2946611871221,13.906880915273176,0.5568755568755569,0.4892367906066536,0.2465753424657534,0.0,11.607628193513314,24.31740843140201,2.5346307541968964,8.556115200826554,7.571725555727976,0.6361364362077999,27.402495220723893
238,2,Derrick,Favors,127.0944806443998,0.4849103218649721,102.11862500795151,24.975855636448326,0.5966001961425302,0.5233918128654971,0.3333333333333333,0.0,12.078376484528205,21.224900420544074,3.1554290087385155,8.833922261484098,9.64686769890384,2.522614454537225,24.35565250055253
248,2,Zach,Randolph,113.78826397215988,0.4318427363933097,109.2510430654378,4.5372209067220695,0.5368670677616266,0.4675174013921114,0.25754060324825984,0.002320185614849188,12.598232310528926,22.76940981074381,0.7626589468633268,9.946700698145783,10.00396982929734,1.229083159619592,26.073399275472497
93,2,Blake,Griffin,122.77970797175756,0.4519764496451871,101.26134132557512,21.51836664618245,0.5932845241100733,0.5211538461538462,0.3019230769230769,0.01153846153846154,5.490685100944893,22.572025041775788,1.425149597268953,9.937622309197652,26.394070555336302,1.0745941239148855,29.99930199137765
