Cluster,first_name,last_name,OffRtg,Floor%,DefRtg,NetRtg,TS%,eFG%,FTARate,3FGARate,OR%,DR%,BLK%,TOV%,AST%,STL%,USG%
0,Kyle,Korver,110.92058205039936,0.3325632888078306,105.163097955919,5.757484094480361,0.5823652070300864,0.5503048780487805,0.10670731707317073,0.2347560975609756,0.6489228156734621,12.815403772145011,1.2360924106418176,14.662027833001993,10.312763486984984,1.251121367650812,14.556519301885581
0,Anthony,Morrow,138.96423771347776,0.34850019405114385,107.2974964585648,31.66674125491295,0.5703799226267235,0.5406091370558376,0.1065989847715736,0.2487309644670051,1.3848235923582914,6.571040801602397,0.3844754446650269,4.181378925850213,3.1552063663091627,1.5403501855171282,15.800328226987007
0,Allen,Crabbe,127.59834552337654,0.3708799467833152,111.092094882945,16.50625064043156,0.5840581051073279,0.5452380952380952,0.13333333333333333,0.15714285714285714,1.1609126792117892,10.558602006333528,0.42922805476075626,8.253549026081215,7.892278517859324,1.7293236848521645,19.37170253014687
0,Arron,Afflalo,126.70890499963885,0.38109781998078396,109.26417296960459,17.444732030034245,0.5666593454864924,0.5215419501133787,0.1473922902494331,0.10884353741496597,1.2692886980870868,11.234031447775584,0.3951316046379832,6.936187078874358,9.271229205594636,0.5374683530573049,19.02795629229428
0,JJ,Redick,127.10301486052202,0.4032446079542953,107.51643538536871,19.586579475153343,0.6862977914984564,0.6080402010050251,0.2638190954773869,0.24120603015075376,0.4665765090919642,6.106204908840754,0.1674078148865432,8.45012366034625,9.423429073044746,0.9120057704128516,22.219550622827345
0,Brandon,Rush,125.08840718167382,0.3875966991049433,105.29562678237707,19.792780399296745,0.6103382433169667,0.5972222222222222,0.08333333333333333,0.2777777777777778,2.8337120914780383,14.875082693149956,1.2107482736627415,11.290705966246732,6.9741094259447705,0.9966946571607408,13.642413596319669
0,Klay,Thompson,116.64423443409949,0.4066992511502506,106.83819134747655,9.806043086622909,0.6136788117755181,0.5625,0.1867283950617284,0.2021604938271605,1.6320455159360554,10.518545758055184,1.7906417981960685,9.5454310923069,12.122963896298144,0.7160946621612467,26.14220836645762
0,Jason,Terry,127.53710372724613,0.3380061854290553,110.27773593248126,17.259367794764856,0.6007048269970098,0.5659340659340659,0.13186813186813187,0.2637362637362637,0.5418184940712644,6.089636083153293,0.8121612223970769,12.297321916560392,12.580321451593552,2.3763912552520345,15.261191437472437
1,Gary,Neal,115.52330659565376,0.3927104644956293,108.77387376976569,6.749432825888064,0.5845966819221968,0.5351851851851852,0.16296296296296298,0.13703703703703704,1.8694068268282544,9.909555642941411,0.12390816683890475,8.534580857251234,10.205025164971117,1.2980291808582651,20.967989560780293
1,Courtney,Lee,120.18750863566356,0.3748257174043546,111.27691730770869,8.910591327954863,0.5734011208042059,0.5090634441087614,0.2084592145015106,0.10574018126888217,1.7579356220169842,9.617482981145892,0.788760851680962,8.599757183326588,8.993429279823047,2.0141867945745,17.785088029447287
1,CJ,McCollum,126.87616027321465,0.346489802210578,111.27761006343864,15.598550209776022,0.5533383933599393,0.5126262626262627,0.14267676767676768,0.1388888888888889,1.86310568746478,9.941130391460252,0.4959735697113432,10.42863831779679,23.874551233702693,1.7528383715455558,28.93517944019908
1,Evan,Fournier,115.88289033819271,0.35782437134166073,103.4893197921747,12.393570546017985,0.5685323025044208,0.5064516129032258,0.2086021505376344,0.16559139784946236,1.4808648151371155,8.90557945626348,0.13923205597355046,10.726594921572763,12.809373101338437,2.297975478612917,19.711483302585908
1,Gerald,Green,113.73231672255608,0.3210822078862981,107.73124724714,6.00106947541606,0.5227077977720651,0.47781065088757396,0.16272189349112426,0.15088757396449706,1.9855037543600933,9.553455564489807,1.259694622467694,7.413087934560328,6.5216088233531115,1.1303035199572078,21.21086804186348
1,Austin,Rivers,108.21662711805412,0.3728819167683965,105.45468508314272,2.7619420349114137,0.5240581872435658,0.474609375,0.21484375,0.09765625,2.053540832615945,7.399408142809412,0.5262936928723939,9.379042690815007,9.076104597745417,1.5516327223548112,17.806000999624093
1,Marcus,Thornton,117.93371768667696,0.3601417260697698,109.96777198542671,7.965945701250262,0.5435376379329182,0.5028089887640449,0.12921348314606745,0.17415730337078653,3.772996266001112,10.7573197357154,0.11782394585030655,7.61221883901385,12.520104047887942,2.1398521425755783,24.63929120621285
1,Kentavious,Caldwell-Pope,122.15202816445984,0.3374991188649349,107.09152354211928,15.06050462234056,0.5462229080451708,0.4806629834254144,0.2283609576427256,0.1289134438305709,2.2765778103987278,9.26491966562269,0.5465470323343552,8.708139819115134,8.684713099883686,2.1963954370986256,19.074390055630925
1,Leandro,Barbosa,111.07938162494524,0.4031629547756267,103.89485456678413,7.184527058161109,0.5739130434782609,0.5299401197604791,0.1497005988023952,0.11377245508982035,2.55669928769208,7.027359471441534,0.8766094000704417,14.009661835748794,15.373092949447384,2.834036613947878,21.870253851160765
1,Avery,Bradley,115.11672980602717,0.3609748167604924,103.4622010804722,11.654528725554956,0.5433700887703515,0.5112474437627812,0.12474437627811864,0.147239263803681,2.107671778909133,6.682211736651442,0.6583869930162972,9.4763442369788,10.122548445298404,2.4123052385891532,20.441795265598827
1,Gary,Harris,114.68165765265526,0.3692111238164617,108.84136958253157,5.840288070123704,0.5600672080649678,0.5173913043478261,0.15942028985507245,0.14202898550724638,2.6454673465077803,8.034178961232563,0.7032934547973428,12.13707758210376,10.261227311568973,1.999166473288592,17.380933644090632
